year,book_val,asset_id,existing_or_retrofit,asset_domain,asset_type,scenario
2033,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_1,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_2,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_3,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_4,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_5,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_6,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_7,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_8,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_9,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_10,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_11,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_12,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_13,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_14,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_15,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_16,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2031,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2032,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2033,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2034,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2035,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2036,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2037,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2038,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2039,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2040,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2041,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2042,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2043,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2044,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2045,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2046,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2047,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2048,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2049,0.0,GS_17,retrofit,gas_network,gas_service,ex_uten
2025,0.0,GS_18,retrofit,gas_network,gas_service,ex_uten
2026,0.0,GS_18,retrofit,gas_network,gas_service,ex_uten
2027,0.0,GS_18,retrofit,gas_network,gas_service,ex_uten
2028,0.0,GS_18,retrofit,gas_network,gas_service,ex_uten
2029,0.0,GS_18,retrofit,gas_network,gas_service,ex_uten
2030,0.0,GS_18,retrofit,gas_network,gas_service,ex_uten
